study_word	test	refrence	old_new	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	trial.started	text.started	slider.started	trial.stopped	slider.response	slider.rt	test.started	text_2.started	textbox.started	text_3.started	mouse.started	test.stopped	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
case				0	10	10	10					19.9894019		19.9616269	19.9894019	19.9894019	23.30999	2.006666667	3.3270001															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
cruise				0	11	11	11					23.3376632		23.3102572	23.3376632	23.3376632	24.1761133	2.006666667	0.8451671															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
book				0	12	12	5					24.2036866		24.1763689	24.2036866	24.2036866	26.4247225	1	2.227273															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
chart				0	13	13	6					26.4527957		26.424986	26.4527957	26.4527957	27.7241283	2.94	1.2781334															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
pastry				0	14	14	9					27.7521187		27.7243974	27.7521187	27.7521187	29.2566864	4.853333333	1.5105269															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	p_st_r	poster	old					0	0	0	9	29.2851053								29.262632	29.2851053	29.2851053	29.2851053	0.0086958	34.586891	pastry	[0.058333333333333334]	[-0.275]	[1]	[0]	[0]	[5.320962500059977]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	_ru_is_	crusie	old					0	1	1	6	34.5992411								34.587788	34.5992411	34.5992411	34.5992411	0.0018215	41.2996275	cruise	"[0.0016666666666666668, -0.006666666666666667]"	"[-0.265, -0.29]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[5.226985299959779, 6.709757500095293]"	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	t_hi_t	tshirt	old					0	2	2	2	41.3123413								41.3001885	41.3123413	41.3123413	41.3123413	0.0018383	44.797322	tshirt	[-0.021666666666666667]	[-0.28]	[1]	[0]	[0]	[3.495009999955073]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	_ha_t	chart	old					0	3	3	1	44.8106365								44.7978439	44.8106365	44.8106365	44.8106365	0.0018476	54.8076035	hat	[]	[]	[]	[]	[]	[]	[]	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	ta_l_	table	new					0	4	4	15	54.8221426								54.8082471	54.8221426	54.8221426	54.8221426	0.0122136	64.80209	table	[]	[]	[]	[]	[]	[]	[]	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	p_li_e	police	old					0	5	5	7	64.8167641								64.8025958	64.8167641	64.8167641	64.8167641	0.0066326	69.4845376	police	"[-0.06166666666666667, -0.07166666666666667]"	"[-0.21, -0.285]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[3.5298789001535624, 4.679767900146544]"	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	p_as_tr_	pastry	old					0	6	6	4	69.4977919								69.4850732	69.4977919	69.4977919	69.4977919	0.0021046	73.8813368	pastry	[0.028333333333333332]	[-0.31833333333333336]	[1]	[0]	[0]	[4.393849899992347]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	_oo_	book	old					0	7	7	13	73.8954421								73.881876	73.8954421	73.8954421	73.8954421	0.0017593	77.0473762	book	[-0.035]	[-0.28]	[1]	[0]	[0]	[3.16340190009214]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	_ho_e	phone	old					0	8	8	12	77.0606968								77.0479025	77.0606968	77.0606968	77.0606968	0.0018336	85.9753311	shoes	[-0.06166666666666667]	[-0.2866666666666667]	[1]	[0]	[0]	[8.92529879999347]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	bo_t_e	bottle	new					0	9	9	18	85.988951								85.9758276	85.988951	85.988951	85.988951	0.0020653	89.5409381	bottle	[-0.07833333333333334]	[-0.2816666666666667]	[1]	[0]	[0]	[3.562725800089538]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	l_pt_p	laptop	old					0	10	10	0	89.5538435								89.5414573	89.5538435	89.5538435	89.5538435	0.0018204	92.605345	laptop	[-0.05333333333333334]	[-0.295]	[1]	[0]	[0]	[3.0617423998191953]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	c_s_io_	cushion	old					0	11	11	14	92.6190517								92.6058791	92.6190517	92.6190517	92.6190517	0.001807	97.3705769	cushion	[-0.06833333333333333]	[-0.32]	[1]	[0]	[0]	[4.76257609995082]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	_o_rd	board	old					0	12	12	10	97.3830283								97.3710912	97.3830283	97.3830283	97.3830283	0.0018147	101.9003905	board	[0.013333333333333334]	[-0.2966666666666667]	[1]	[0]	[0]	[4.527169700013474]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	v_s_	vase	new					0	13	13	17	101.9139092								101.9009865	101.9139092	101.9139092	101.9139092	0.0030054	105.6659105	vase	[-0.04666666666666667]	[-0.29]	[1]	[0]	[0]	[3.761540099978447]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	c_s_	case	old					0	14	14	5	105.6788765								105.6665045	105.6788765	105.6788765	105.6788765	0.0017338	110.7130714	case	[-0.09166666666666666]	[-0.2916666666666667]	[1]	[0]	[0]	[5.044485900085419]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	p_nc_l	pencil	new					0	15	15	16	110.7259009								110.7135868	110.7259009	110.7259009	110.7259009	0.0020533	115.5110004	pencil	"[0.03666666666666667, 0.01]"	"[-0.33, -0.29833333333333334]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[3.495327699929476, 4.794983600033447]"	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	_ou_se	mouse	old					0	16	16	3	115.5235954								115.511531	115.5235954	115.5235954	115.5235954	0.0018238	118.9085521	mouse	[-0.056666666666666664]	[-0.295]	[1]	[0]	[0]	[3.3948502999264747]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	_a_bl_	marble	old					0	17	17	11	118.9217346								118.9091131	118.9217346	118.9217346	118.9217346	0.001829	123.7225759	marble	[-0.09666666666666666]	[-0.29833333333333334]	[1]	[0]	[0]	[4.811307499883696]	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	k_y_	keys	old					0	18	18	8	123.7360083								123.7231928	123.7360083	123.7360083	123.7360083	0.0017058	127.5702042	keys	"[-0.03666666666666667, -0.03833333333333333]"	"[-0.25666666666666665, -0.305]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[2.9128771000541747, 3.8449244999792427]"	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
	c_m_ra	camera	new 					0	19	19	19	127.5836936								127.5707604	127.5836936	127.5836936	127.5836936	0.0018093	132.4687745	camera	"[-0.035, 0.023333333333333334]"	"[-0.3466666666666667, -0.27666666666666667]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[3.8456761999987066, 4.895851199980825]"	['text_3']	926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
																																								
																											prop hit from study list	15	0.75											
																											prop hit for non primed words	5	0.25											
																																								
																											priming score	0.5												
